Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-05-29 00:00:00+05:30,28.835489369393347,28.878462618321013,27.976011276245117,27.976011276245117,18591,0.0,0.0
2012-05-30 00:00:00+05:30,27.5032981288361,27.933037162099165,26.64382006230997,26.901662826538086,22655,0.0,0.0
2012-05-31 00:00:00+05:30,26.68679330990655,28.104933431134114,26.64382006230997,26.901662826538086,17283,0.0,0.0
2012-06-01 00:00:00+05:30,28.964414850336457,28.964414850336457,26.643823146374075,27.67519760131836,56347,0.0,0.0
2012-06-04 00:00:00+05:30,26.385976281917106,29.222253136494192,26.385976281917106,28.835487365722656,87775,0.0,0.0
2012-06-05 00:00:00+05:30,28.362774304761235,29.13630582453227,27.847088810679484,28.06195831298828,22352,0.0,0.0
2012-06-06 00:00:00+05:30,28.36277523781895,29.65199229408345,28.01898271135568,28.706567764282227,37682,0.0,0.0
2012-06-07 00:00:00+05:30,29.007380471300724,29.007380471300724,27.503294076492537,28.792510986328125,56031,0.0,0.0
2012-06-08 00:00:00+05:30,30.94120979309082,31.285002324473478,28.362775643666584,30.94120979309082,108848,0.0,0.0
2012-06-11 00:00:00+05:30,31.027159221874758,32.91801176606258,31.027159221874758,32.27340316772461,153037,0.0,0.0
2012-06-12 00:00:00+05:30,31.370946884155273,33.003956389584346,31.370946884155273,32.66016387939453,82542,0.0,0.0
2012-06-13 00:00:00+05:30,31.37094783134201,32.445295359812626,31.37094783134201,31.585817337036133,17373,0.0,0.0
2012-06-14 00:00:00+05:30,32.66016387939453,33.003956389584346,31.628789627473452,32.66016387939453,110829,0.0,0.0
2012-06-15 00:00:00+05:30,32.23043480742186,33.04693981160642,32.23043480742186,32.74612045288086,66695,0.0,0.0
2012-06-18 00:00:00+05:30,33.17585556550438,33.17585556550438,32.44530044314481,32.789093017578125,23979,0.0,0.0
2012-06-19 00:00:00+05:30,33.47667688417605,33.949389243225305,32.27340608055143,33.17585754394531,72501,0.0,0.0
2012-06-20 00:00:00+05:30,34.379119873046875,34.379119873046875,32.488267624299624,32.66016387939453,209913,0.0,0.0
2012-06-21 00:00:00+05:30,32.660167257820426,33.51964534355254,32.3163747120681,32.96098327636719,49414,0.0,0.0
2012-06-22 00:00:00+05:30,31.37095186657458,33.13288138417296,30.941212799909174,32.574222564697266,33302,0.0,0.0
2012-06-25 00:00:00+05:30,32.359348584250284,32.57421808805368,31.585817059098694,31.757713317871094,17256,0.0,0.0
2012-06-26 00:00:00+05:30,31.499872996572424,32.05853178232519,31.499872996572424,31.84366226196289,10000,0.0,0.0
2012-06-27 00:00:00+05:30,33.261799132902524,33.261799132902524,31.327973640043638,31.80068588256836,12934,0.0,0.0
2012-06-28 00:00:00+05:30,32.01555179804412,32.01555179804412,31.5858128477348,31.628786087036133,23987,0.0,0.0
2012-06-29 00:00:00+05:30,31.800685606066512,32.187451357005095,31.45689309886592,31.542842864990234,14702,0.0,0.0
2012-07-02 00:00:00+05:30,30.812289656468394,32.101506851779185,30.68336990412664,30.726343154907227,52837,0.0,0.0
2012-07-03 00:00:00+05:30,30.597415375552373,30.855261397518916,29.222251892089844,29.65199089050293,96153,0.0,0.0
2012-07-04 00:00:00+05:30,29.007378857683236,29.5660407989941,28.10492772672935,29.050352096557617,131774,0.0,0.0
2012-07-05 00:00:00+05:30,28.405749377390556,29.651993226706498,28.405749377390556,29.351177215576172,30351,0.0,0.0
2012-07-06 00:00:00+05:30,29.351179522644657,31.113109037718086,29.308202993120595,30.29660415649414,62702,0.0,0.0
2012-07-09 00:00:00+05:30,28.362774304761235,29.222252313996425,27.675192553102764,28.06195831298828,116877,0.0,0.0
2012-07-10 00:00:00+05:30,28.362775802612305,30.124705158863048,27.97601002230151,28.362775802612305,186380,0.0,0.0
2012-07-11 00:00:00+05:30,28.147905893678516,28.792514425594817,28.018982875835842,28.23385238647461,22103,0.0,0.0
2012-07-12 00:00:00+05:30,27.84708989024366,28.57764491495605,27.84708989024366,28.23385238647461,26373,0.0,0.0
2012-07-13 00:00:00+05:30,28.362776381265668,28.362776381265668,27.80411432290249,28.018983840942383,29657,0.0,0.0
2012-07-16 00:00:00+05:30,27.93303530641569,28.233851298256187,27.54626954644333,27.632219314575195,19730,0.0,0.0
2012-07-17 00:00:00+05:30,27.159509886940295,28.79251804522234,27.159509886940295,27.4173526763916,31305,0.0,0.0
2012-07-18 00:00:00+05:30,28.10493379943063,28.10493379943063,27.07355945035407,27.460325241088867,7185,0.0,0.0
2012-07-19 00:00:00+05:30,27.84709103182366,27.84709103182366,27.245455721641612,27.460325241088867,43407,0.0,0.0
2012-07-20 00:00:00+05:30,27.5032958984375,27.63221890942077,27.24545315511932,27.5032958984375,33980,0.0,0.0
2012-07-23 00:00:00+05:30,27.417347631354286,27.503295758464322,26.858687264125315,26.94463539123535,2922,0.0,0.0
2012-07-24 00:00:00+05:30,26.77274048563659,27.50329714388591,26.72976723957897,27.116531372070312,8107,0.0,0.0
2012-07-25 00:00:00+05:30,26.72977066040039,27.288431127266946,26.343004839087293,26.72977066040039,9733,0.0,0.0
2012-07-26 00:00:00+05:30,27.46032251457139,27.46032251457139,25.999209271673305,26.94463539123535,42187,0.0,0.0
2012-07-27 00:00:00+05:30,28.06195589896496,28.06195589896496,26.643815994262695,26.643815994262695,5977,0.0,0.0
2012-07-30 00:00:00+05:30,26.643818756776,27.073557768982067,25.354601720157806,25.440549850463867,56113,0.0,0.0
2012-07-31 00:00:00+05:30,25.1397339334699,25.8273157442966,24.92486441267101,25.741369247436523,30389,0.0,0.0
2012-08-01 00:00:00+05:30,25.182703606814272,27.417346633744426,25.182703606814272,26.300025939941406,11629,0.0,0.0
2012-08-02 00:00:00+05:30,25.784342372285575,27.159507626672344,25.784342372285575,27.03058624267578,4527,0.0,0.0
2012-08-03 00:00:00+05:30,27.030584920021926,27.41734905308656,25.870289242179506,26.25705337524414,8259,0.0,0.0
2012-08-06 00:00:00+05:30,26.428950388746586,27.632220986197744,26.428950388746586,27.20248031616211,24516,0.0,0.0
2012-08-07 00:00:00+05:30,26.343003126576104,26.643820785894626,26.30002987781247,26.428951263427734,5050,0.0,0.0
2012-08-08 00:00:00+05:30,27.89006049598733,27.89006049598733,26.21407781595869,26.300025939941406,16740,0.0,0.0
2012-08-09 00:00:00+05:30,26.04218864440918,26.171111685077435,25.827319095728164,26.04218864440918,5819,0.0,0.0
2012-08-10 00:00:00+05:30,25.913266029052558,25.99921417236328,25.82731788574183,25.99921417236328,8005,0.0,0.0
2012-08-13 00:00:00+05:30,25.827316790112373,26.42895212844079,25.784343539942235,26.085161209106445,16000,0.0,0.0
2012-08-14 00:00:00+05:30,26.21408208543221,26.21408208543221,25.784343034851357,25.827316284179688,14437,0.0,0.0
2012-08-16 00:00:00+05:30,25.870290073420755,25.91326332092285,25.78434193909225,25.91326332092285,15224,0.0,0.0
2012-08-17 00:00:00+05:30,25.87029185974558,26.42895231246948,25.784343719482422,25.784343719482422,10760,0.0,0.0
2012-08-21 00:00:00+05:30,25.784343719482422,25.827316969951788,25.784343719482422,25.784343719482422,1114,0.0,0.0
2012-08-22 00:00:00+05:30,25.784343719482422,26.042186500947476,25.784343719482422,25.784343719482422,15700,0.0,0.0
2012-08-23 00:00:00+05:30,25.784343480984376,26.21408253900078,24.967838615023442,25.526500701904297,5096,0.0,0.0
2012-08-24 00:00:00+05:30,25.053786811778988,26.600848407770172,24.667022642274503,26.085161209106445,36578,0.0,0.0
2012-08-27 00:00:00+05:30,25.268658294501574,26.21408462524414,25.22568504100968,26.21408462524414,31524,0.0,0.0
2012-08-28 00:00:00+05:30,25.612446637815864,25.784342912965386,25.52650013956548,25.698394775390625,6028,0.0,0.0
2012-08-29 00:00:00+05:30,26.901662936350604,26.901662936350604,25.311629818246207,25.612445831298828,9704,0.0,0.0
2012-08-30 00:00:00+05:30,28.276829534219143,28.276829534219143,24.924863782979674,25.354602813720703,18198,0.0,0.0
2012-08-31 00:00:00+05:30,25.44055094773377,25.698393710448666,25.354602813720703,25.354602813720703,1900,0.0,0.0
2012-09-03 00:00:00+05:30,25.39757785311094,25.44055274281192,25.010813681748626,25.225683212280273,4750,0.0,0.0
2012-09-04 00:00:00+05:30,25.741369641113156,25.784342890200406,24.70999526977539,24.70999526977539,6350,0.0,0.0
2012-09-05 00:00:00+05:30,24.409176649884667,24.967837062707734,24.366203402484548,24.924863815307617,10060,0.0,0.0
2012-09-06 00:00:00+05:30,24.10835994660763,24.924864793860394,24.10835994660763,24.70999526977539,15768,0.0,0.0
2012-09-07 00:00:00+05:30,28.31980519609836,28.31980519609836,24.15133591464356,24.624048233032227,7084,0.0,0.0
2012-09-10 00:00:00+05:30,24.366206434752048,25.31163274912756,24.366206434752048,24.4091796875,7216,0.0,0.0
2012-09-11 00:00:00+05:30,24.108358361673734,24.88188990898566,24.108358361673734,24.538097381591797,4235,0.0,0.0
2012-09-12 00:00:00+05:30,24.924863815307617,26.47192367225216,23.893489484461718,24.924863815307617,8378,0.0,0.0
2012-09-13 00:00:00+05:30,24.924866470714612,29.136310737570803,24.924866470714612,27.546274185180664,171487,0.0,0.0
2012-09-14 00:00:00+05:30,27.93303883493742,28.362777893936457,25.612447260612853,26.085161209106445,79962,0.0,0.0
2012-09-17 00:00:00+05:30,26.214083159621392,26.214083159621392,25.139735489145103,25.182708740234375,19057,0.0,0.0
2012-09-18 00:00:00+05:30,25.784340732363873,26.214079744569936,25.053784083748717,25.440549850463867,80008,0.0,0.0
2012-09-20 00:00:00+05:30,24.53809682368445,25.78434060884148,24.53809682368445,24.88188934326172,25548,0.0,0.0
2012-09-21 00:00:00+05:30,24.79594743843193,25.139738404994272,24.709999286960183,24.96784210205078,31345,0.0,0.0
2012-09-24 00:00:00+05:30,24.709995894628136,25.526500762528222,24.709995894628136,25.09676170349121,22956,0.0,0.0
2012-09-25 00:00:00+05:30,24.967839206139118,25.311631772151088,24.924865955049846,25.182708740234375,5957,0.0,0.0
2012-09-26 00:00:00+05:30,25.35460502324036,26.42895269371665,25.139735489145103,25.182708740234375,7370,0.0,0.0
2012-09-27 00:00:00+05:30,25.397576061065084,25.784341844461732,25.05378516433712,25.354602813720703,8987,0.0,0.0
2012-09-28 00:00:00+05:30,26.17110935108374,26.17110935108374,24.924865424146642,25.09676170349121,38375,0.0,0.0
2012-10-01 00:00:00+05:30,27.030584822776593,27.030584822776593,25.22568062366219,25.268653869628906,2960,0.0,0.0
2012-10-03 00:00:00+05:30,26.815716173969925,26.815716173969925,25.18270654569457,25.354602813720703,11621,0.0,0.0
2012-10-04 00:00:00+05:30,25.35460386441596,26.64382101006423,25.22568247771601,25.698394775390625,54815,0.0,0.0
2012-10-05 00:00:00+05:30,27.03058784764874,29.136309922144857,25.397578088982637,25.4835262298584,47417,0.0,0.0
2012-10-08 00:00:00+05:30,26.557875571152923,26.815720010077918,25.69839738671869,26.21408462524414,64694,0.0,0.0
2012-10-09 00:00:00+05:30,26.60084275322738,27.03058172087678,26.25705026764861,26.643815994262695,55210,0.0,0.0
2012-10-10 00:00:00+05:30,26.815717814376576,26.815717814376576,25.78434342177578,25.956239700317383,98883,0.0,0.0
2012-10-11 00:00:00+05:30,26.128132741189695,26.60084665859941,25.13973329835019,25.354602813720703,57940,0.0,0.0
2012-10-12 00:00:00+05:30,26.17110677356053,28.964410382196004,25.74136775684738,28.835487365722656,175275,0.0,0.0
2012-10-15 00:00:00+05:30,29.179278114389383,32.18745104827183,28.921435375786263,29.99578285217285,345481,0.0,0.0
2012-10-16 00:00:00+05:30,30.46849906240563,31.71474295338728,29.73794071593079,30.382549285888672,118110,0.0,0.0
2012-10-17 00:00:00+05:30,30.94121093217097,32.746113591754806,30.683368163465953,31.84366226196289,218497,0.0,0.0
2012-10-18 00:00:00+05:30,31.370945654536627,31.929607642035613,30.94120667296763,31.327972412109375,72338,0.0,0.0
2012-10-19 00:00:00+05:30,31.28499886213483,31.28499886213483,30.210651418773722,30.640390396118164,48156,0.0,0.0
2012-10-22 00:00:00+05:30,30.08173587158904,32.31637779630462,29.9098395823073,32.18745803833008,171892,0.0,0.0
2012-10-23 00:00:00+05:30,32.31637136920472,32.875033378601074,30.68336514242401,31.80068588256836,87308,0.0,0.0
2012-10-25 00:00:00+05:30,31.800691070114546,32.23043013862961,31.370952001599484,31.714744567871094,49463,0.0,0.0
2012-10-29 00:00:00+05:30,32.53124526063917,34.37912451476744,31.88663667598728,32.316375732421875,251178,0.0,0.0
2012-10-30 00:00:00+05:30,32.44529851847587,32.53124501766133,31.370950885413755,32.05853271484375,86151,0.0,0.0
2012-10-31 00:00:00+05:30,31.80068628072807,32.96098027951149,31.58581677883126,32.35934829711914,62321,0.0,0.0
2012-11-01 00:00:00+05:30,32.05853295429088,32.61719503911537,31.800690176159886,32.316375732421875,36989,0.0,0.0
2012-11-02 00:00:00+05:30,31.757718954450233,32.31637779630462,31.757718954450233,32.18745803833008,13354,0.0,0.0
2012-11-05 00:00:00+05:30,31.800686297249218,31.843659541921223,30.98418153388746,31.070131301879883,25831,0.0,0.0
2012-11-06 00:00:00+05:30,31.11310387031366,31.671762596204207,30.984180860451353,31.542842864990234,13723,0.0,0.0
2012-11-07 00:00:00+05:30,32.23042127319878,32.23042127319878,30.640388468513503,31.628786087036133,34995,0.0,0.0
2012-11-08 00:00:00+05:30,32.01555732831563,32.01555732831563,30.941209766962757,31.370948791503906,38355,0.0,0.0
2012-11-09 00:00:00+05:30,31.027158563118096,33.261803623767264,31.027158563118096,32.316375732421875,144241,0.0,0.0
2012-11-12 00:00:00+05:30,33.34774603865543,33.34774603865543,32.230425284521694,32.35934829711914,27138,0.0,0.0
2012-11-15 00:00:00+05:30,31.972581197883525,33.00395541948911,31.800684947841216,32.44529342651367,21043,0.0,0.0
2012-11-16 00:00:00+05:30,31.843658853525945,32.53124058935915,31.843658853525945,31.97258186340332,23184,0.0,0.0
2012-11-19 00:00:00+05:30,32.488269055044,32.488269055044,30.55444347702176,30.855262756347656,71699,0.0,0.0
2012-11-20 00:00:00+05:30,31.11310154331075,31.585813746370352,30.941205302566875,30.98417854309082,12454,0.0,0.0
2012-11-21 00:00:00+05:30,30.76931352739949,31.113106058782147,30.68336703387811,30.94120979309082,16086,0.0,0.0
2012-11-22 00:00:00+05:30,30.683364203219213,31.45689240949638,30.683364203219213,31.156076431274414,25780,0.0,0.0
2012-11-23 00:00:00+05:30,30.76931352739949,30.98418303985151,30.726340280638798,30.94120979309082,13856,0.0,0.0
2012-11-26 00:00:00+05:30,30.769307585916533,32.3163671211077,30.769307585916533,32.101497650146484,30770,0.0,0.0
2012-11-27 00:00:00+05:30,32.48827082304978,32.832063367088935,31.671765989943314,31.84366226196289,55246,0.0,0.0
2012-11-29 00:00:00+05:30,31.75771319989194,32.05852919263979,29.00738290569624,31.02715492248535,71013,0.0,0.0
2012-11-30 00:00:00+05:30,30.76931163064728,32.05852862588654,30.726338386535645,31.80068588256836,30784,0.0,0.0
2012-12-03 00:00:00+05:30,30.855264435485527,32.05853178232519,30.855264435485527,31.84366226196289,26526,0.0,0.0
2012-12-04 00:00:00+05:30,31.456893766233808,32.83206054556244,31.456893766233808,32.35934829711914,87446,0.0,0.0
2012-12-05 00:00:00+05:30,33.00395599421125,33.992353711531756,32.61719024454309,33.820457458496094,190314,0.0,0.0
2012-12-06 00:00:00+05:30,33.519639668445365,35.23859554887846,33.519639668445365,35.10967254638672,309104,0.0,0.0
2012-12-07 00:00:00+05:30,35.23860366256149,35.23860366256149,34.551021807802265,34.80886459350586,184264,0.0,0.0
2012-12-10 00:00:00+05:30,34.80886103702734,35.23860006217583,34.679938018023364,35.06670379638672,133823,0.0,0.0
2012-12-11 00:00:00+05:30,34.80886820306601,34.93779124861114,34.164259532638866,34.551025390625,46392,0.0,0.0
2012-12-12 00:00:00+05:30,34.765886315266,34.765886315266,34.250197539777275,34.33614730834961,28751,0.0,0.0
2012-12-13 00:00:00+05:30,34.37912223575744,34.80886126370441,33.519644179863505,33.64856719970703,46689,0.0,0.0
2012-12-14 00:00:00+05:30,34.07830457724172,34.1212778222255,33.304773052939865,33.47666931152344,20788,0.0,0.0
2012-12-17 00:00:00+05:30,34.55101383231286,34.59398707356903,32.23042273935003,32.83205795288086,142037,0.0,0.0
2012-12-18 00:00:00+05:30,33.089906300686486,33.34774907067638,32.660167257820426,32.96098327636719,64416,0.0,0.0
